name,slug,competition_id,short_name
AFC Bournemouth,afc-bournemouth,1,Bournemouth
Arsenal FC,arsenal-fc,1,Arsenal
Aston Villa FC,aston-villa-fc,1,Aston Villa
Brentford FC,brentford-fc,1,Brentford
Brighton & Hove Albion FC,brighton-hove-albion-fc,1,Brighton Hove
Burnley FC,burnley-fc,1,Burnley
Chelsea FC,chelsea-fc,1,Chelsea
Crystal Palace FC,crystal-palace-fc,1,Crystal Palace
Everton FC,everton-fc,1,Everton
Fulham FC,fulham-fc,1,Fulham
Leeds United FC,leeds-united-fc,1,Leeds United
Liverpool FC,liverpool-fc,1,Liverpool
Manchester City FC,manchester-city-fc,1,Man City
Manchester United FC,manchester-united-fc,1,Man United
Newcastle United FC,newcastle-united-fc,1,Newcastle
Nottingham Forest FC,nottingham-forest-fc,1,Nottingham
Tottenham Hotspur FC,tottenham-hotspur-fc,1,Tottenham
West Ham United FC,west-ham-united-fc,1,West Ham
Wolverhampton Wanderers FC,wolverhampton-wanderers-fc,1,Wolverhampton